ticker,company_name,market,sector,industry,internal_category,financial_type,notes,company_name_jpx,market_jpx,sector_jpx,company_name_yf,market_yf,sector_yf,industry_yf,quote_type,currency,country,website,yf_fetch_status
9763.T,"Maruken Lease Co., Ltd.",Standard,Industrials,Rental & Leasing Services,leasing,leasing,,丸建リース,Standard,,"Maruken Lease Co., Ltd.",JPX,Industrials,Rental & Leasing Services,EQUITY,JPY,Japan,https://www.maruken-lease.co.jp,ok
9767.T,"Nikken Kogaku Co., Ltd.",Standard,Industrials,Building Products & Equipment,non_financial,non_financial,,日建工学,Standard,,"Nikken Kogaku Co., Ltd.",JPX,Industrials,Building Products & Equipment,EQUITY,JPY,Japan,https://www.nikken-kogaku.co.jp,ok
9768.T,"IDEA Consultants,Inc.",Standard,Industrials,Engineering & Construction,non_financial,non_financial,,いであ,Standard,,"IDEA Consultants,Inc.",JPX,Industrials,Engineering & Construction,EQUITY,JPY,Japan,https://www.ideacon.co.jp,ok
9778.T,"Subaru Co., Ltd.",Standard,Consumer Defensive,Education & Training Services,non_financial,non_financial,,昴,Standard,,"Subaru Co., Ltd.",JPX,Consumer Defensive,Education & Training Services,EQUITY,JPY,Japan,https://www.subaru-net.com,ok
9780.T,Harima B.Stem Corporation,Standard,Industrials,Specialty Business Services,non_financial,non_financial,,ハリマビステム,Standard,,Harima B.Stem Corporation,JPX,Industrials,Specialty Business Services,EQUITY,JPY,Japan,https://www.bstem.co.jp,ok
9782.T,DMS Inc.,Standard,Communication Services,Advertising Agencies,non_financial,non_financial,,ディーエムエス,Standard,,DMS Inc.,JPX,Communication Services,Advertising Agencies,EQUITY,JPY,Japan,https://www.dmsjp.co.jp,ok
9791.T,Biken Techno Corporation,Standard,Industrials,Specialty Business Services,non_financial,non_financial,,ビケンテクノ,Standard,,Biken Techno Corporation,JPX,Industrials,Specialty Business Services,EQUITY,JPY,Japan,https://www.bikentechno.co.jp,ok
9799.T,"Asahi Intelligence Service Co., Ltd.",Standard,Technology,Information Technology Services,non_financial,non_financial,,旭情報サービス,Standard,,"Asahi Intelligence Service Co., Ltd.",JPX,Technology,Information Technology Services,EQUITY,JPY,Japan,https://www.aiskk.co.jp,ok
9812.T,"T.O. Holdings CO.,LTD.",Standard,Basic Materials,Building Materials,non_financial,non_financial,,テーオーホールディングス,Standard,,"T.O. Holdings CO.,LTD.",JPX,Basic Materials,Building Materials,EQUITY,JPY,Japan,https://www.tohd.co.jp,ok
9816.T,Striders Corporation,Standard,Real Estate,Real Estate Services,non_financial,non_financial,,ストライダーズ,Standard,,Striders Corporation,JPX,Real Estate,Real Estate Services,EQUITY,JPY,Japan,https://www.striders.co.jp,ok
9818.T,"Daimaru Enawin Co., Ltd.",Standard,Utilities,Utilities - Regulated Gas,non_financial,non_financial,,大丸エナウィン,Standard,,"Daimaru Enawin Co., Ltd.",JPX,Utilities,Utilities - Regulated Gas,EQUITY,JPY,Japan,https://www.gas-daimaru.co.jp,ok
9820.T,MT Genex Corporation,Standard,Industrials,Specialty Business Services,non_financial,non_financial,,エムティジェネックス,Standard,,MT Genex Corporation,JPX,Industrials,Specialty Business Services,EQUITY,JPY,Japan,https://www.mt-genex.co.jp,ok
9823.T,Mammy Mart Holdings Corporation,Standard,Consumer Defensive,Grocery Stores,non_financial,non_financial,,マミーマートホールディングス,Standard,,Mammy Mart Holdings Corporation,JPX,Consumer Defensive,Grocery Stores,EQUITY,JPY,Japan,https://mammymart.co.jp,ok
9827.T,"Lilycolor Co., Ltd.",Standard,Consumer Cyclical,"Furnishings, Fixtures & Appliances",non_financial,non_financial,,リリカラ,Standard,,"Lilycolor Co., Ltd.",JPX,Consumer Cyclical,"Furnishings, Fixtures & Appliances",EQUITY,JPY,Japan,https://www.lilycolor.co.jp,ok
9828.T,Genki Global Dining Concepts Corporation,Standard,Consumer Cyclical,Restaurants,non_financial,non_financial,,Ｇｅｎｋｉ　Ｇｌｏｂａｌ　Ｄｉｎｉｎｇ　Ｃｏｎｃｅｐｔｓ,Standard,,Genki Global Dining Concepts Corporation,JPX,Consumer Cyclical,Restaurants,EQUITY,JPY,Japan,https://www.genkisushi.co.jp,ok
9835.T,"Juntendo Co.,Ltd.",Standard,Consumer Cyclical,Home Improvement Retail,non_financial,non_financial,,ジュンテンドー,Standard,,"Juntendo Co.,Ltd.",JPX,Consumer Cyclical,Home Improvement Retail,EQUITY,JPY,Japan,https://www.juntendo.co.jp,ok
